yeast	human
MAK31	COL4A5
TFP1	ADAM15
YET1	DCC
UTP4	MINK1
HAT1	CHAF1A
CHA1	CSK
MRPL51	UBE2D4
ORC5	ORC5L
RPS28B	AXIN1
RPC82	HBXIP
RPS13	RPS13
NOP1	FBL
LOT5	EN1
MAD1	INSR
SHE9	CENPF
NTH2	ADRBK2
PHO23	ING1
MCM16	IFNGR1
DCC1	VASP
RAI1	DOM3Z
PSF3	ZNF587
DBP9	PTPRK
MOT2	MAML1
RPL35A	MUTED
HHF1	HIST3H3
TEF2	ADRB2
HIR1	FGFR4
ESP1	TAC1
NFI1	PIAS2
YBL104C	FBXW7
COG7	ADCY6
EGD2	ST13
MSL5	SF1
SEC22	VAMP4
MRPL17	ANKRD11
MAK3	RALBP1
RBG1	MGA
RPL38	PHKA2
YNL108C	PRMT5
YMR317W	ZRANB2
CDC28	CDK2
RPS20	CSF2RA
UBP2	SOCS3
RAM2	RHOB
BUD32	PBK
NTA1	MLL2
GSY2	S100B
RPS0A	EVC2
SIS1	DNAJB1
YMR310C	SMN2
DRN1	PELP1
BNI4	PFN2
RPL32	PTK2B
YOR251C	PDCD6
TAF3	NFE2L2
SMD3	COX7A2L
GSG1	STAU1
TOM1	NEDD4
NOP10	NCOR1
TAZ1	INPP5D
BUD14	PACSIN2
YOR093C	TACR1
MOG1	DARC
RAD34	EIF2AK3
PST2	GSN
LTV1	KRTAP4-12
SAC6	ACTN1
RPL28	ELK3
SEN2	ITGB7
TRM82	AKT1
ATG29	AKAP13
RPL22B	PIK3R2
SGF73	BTBD14B
ECM5	AKAP7
MPP10	TRIM37
APS3	BLOC1S3
DEP1	BRMS1
RRP4	EXOSC2
NOP4	HNRPA1
SER2	DCTN1
SNX41	ANTXR1
MGE1	NR3C2
YMR086W	CYBA
MDJ1	DNAJB9
YPL183C	WDR6
TSR1	PTPN1
CIN8	CCL2
YCR102C	CRYAA
UBC4	UBE2D1
GDH3	TBCE
MGM1	DNM1
SHE4	DYNLL2
GAA1	AMFR
FMP41	UMOD
RPS1B	RPS3A
CAP2	PDGFD
NGL1	CASP3
SNF5	ZNF434
PPH3	PPP4C
SKP1	SKP1A
DOA1	MYCBPAP
YAR010C	FBP1
DBR1	BSDC1
EBP2	RGS3
RPO31	IGFBP2
EDC3	EIF2C1
POR1	VDAC1
HSK3	SSX2IP
KTR3	CSPG2
FIP1	CLU
YKL033W	DRD2
PAN2	KIF5B
DCS1	ABL1
VPS13	ASCL2
TUP1	TLE1
SHE3	RNF41
YHI9	PBLD
SSN3	CDK8
YDR282C	SPTAN1
DBP6	MEIS1
LSM5	LSM5
PSF1	ARNT
PDI1	PDIA3
RPS26B	PRKCD
YDR051C	TINAGL1
URN1	PIN1
UBA3	GCH1
BFR2	SF3B5
HSP26	PRKG2
GSP1	RAN
TCB1	PLA2G4A
PNO1	TSC2
HRP1	HNRPD
RVS167	GRAP
PKC1	PRKCB1
VPS25	CHMP4B
KAP104	SOCS6
SWC5	EPC1
SFB3	SHMT1
LCB2	SYN1
VPS17	BRAF
FET5	SELE
PCS60	DIAPH3
PRP2	DHX9
CYK3	SH3GL2
SMC2	EID2
NOP8	ZNF408
YMR118C	REM1
UME6	STMN2
PRE3	PSMB6
LGE1	ATF2
LCP5	DOCK7
DHH1	DDX20
TBF1	TERF1
SAP185	SAPS1
NOP12	COVA1
YIL172C	NTRK2
YME1	CACNB3
SPO14	PLD2
ASI3	PHF5A
NUP53	HOXA5
FPR3	FKBP3
YBR030W	SMAD9
RPB10	POLR2L
YDL176W	CASP7
HXT7	FBN1
ELP4	STAT3
SIS2	DAB1
RPS25A	IL6ST
SRP102	C2ORF51
RPL8B	RPL7A
YDJ1	MMP8
RGR1	UBE2M
RRP9	FZR1
RNR1	KIF3A
TUF1	PTPN6
RSM7	ARHGEF7
SBE2	PLXNA1
SNF7	CHMP4A
PRE9	PSMA4
CDC10	SEPT4
DPH5	SFRS2IP
ELM1	PAK7
RPL15B	GRN
ATG11	FCER2
DUG2	SNAPAP
NIP1	EIF3S8
TAF9	TAF9
UBC13	UBE2D2
LST8	WDR48
PTC6	MTF1
YHR122W	GOLPH2
RGD2	C19ORF43
LSC1	CHMP5
YMR178W	GPRASP2
IKI1	PTHR1
MRPL28	CCL7
RET2	COPB1
BRL1	GALNT6
APC5	ANAPC5
NAS6	CDKN2D
STE2	CD53
NUP1	COL6A3
VPS3	DNMT3A
HHT1	HIST1H3A
CMP2	PPP3CA
SPG5	BMI1
PUT1	FBXW8
TFB2	GTF2H4
NOP58	MATR3
RPL12B	RPL12
IPP1	PPA1
NTH1	DDR1
SOF1	FBXW2
TAH1	STUB1
OSH2	TMEM123
VMA8	ERH
ABF2	HMG20B
RVB1	RUVBL1
YER071C	MAP2
MRPS17	AKAP9
DAD2	IL6R
HOM6	HUWE1
SDH1	PRPH
STH1	SMARCA2
MVB12	POU5F1
RSM26	PPP2R1A
PRT1	ELAVL2
GLO3	ARFGAP1
PKH1	AURKA
PEP1	TNFSF13
PCT1	THY1
RAD14	ATN1
HAP3	NFYB
SSA2	HSPA8
YEL025C	GBP1
MTQ2	BMX
YOL098C	GAS8
RRP45	EXOSC8
NPL6	NPM1
MSP1	TFPT
NPL3	SFRS6
AIR1	IL2
PCF11	EGR4
RAD26	PLXNB1
ACS2	E2F1
IMG2	PRKCQ
PPT1	PPP5C
COG5	JAK3
RLF2	AHSA2
MET13	RAC1
VHS3	DPP7
RSC6	SMARCD1
RPN6	PSMD11
YTA6	KATNAL1
SMD2	SNRPD2
SLU7	MMP10
YHR131C	PRLR
HSH155	SF3B1
DBP8	DOK5
LYS12	AZI2
FUR1	ARHGDIG
YDL156W	PPP2R2C
RPS14A	FTL
SUP45	BIRC4
CNS1	AIP
SMX3	SNRPF
POP4	IGSF21
PDC1	CD36
SEC63	DNAJC8
YAE1	SSX4
SRP101	KPNA2
GET3	CYP11A1
GCN1	NFKBIA
SCW11	SPTBN1
MCM21	LAMB1
MRPL25	SAP130
MYO1	MYH10
YGR071C	RNF12
BRO1	CHMP4C
CTK3	GATA3
BUB2	C21ORF6
BAT1	SMAD5
YML131W	FLI1
RPL27B	CDC37
MLC2	CABP1
PDR15	XYLT2
MMS1	MAP1B
RPC17	MCC
FAR11	HSPG2
RFC2	CDK4
DYN3	PIAS1
CBC2	RBMY1A1
MPM1	PTN
BIR1	BIRC5
BNI1	IL8
RVS161	AMPH
UBA2	SUMO2
TFC7	WAPAL
DPB3	TNFRSF12A
YDR049W	PPP1R12B
OLA1	PRSS2
RPL9B	CLNS1A
TRP2	CD81
RVB2	RUVBL2
PEX17	C1ORF65
VPH1	GRIN2D
MAP1	METAP1
RSM28	HIST1H3E
TIF5	LAT
RPB4	MEN1
ROK1	WRN
SKI6	EXOSC4
YGL079W	RIPK1
USA1	SIRPA
RPS26A	DNMT1
PRK1	GAK
RPL29	PRKD1
CHS6	UNC45A
SLP1	BRF2
YBR053C	MAPT
NOG2	HNRPH1
ANP1	PHC1
SET7	CACNA1C
RPB9	TRHR
BET4	FNTA
JIP5	MCM8
SEC28	SAFB
VID28	RASSF1
ATP4	KRT1
SNA2	ANXA2
RPC25	GPRASP1
MRM1	FLNA
YAR075W	SECISBP2
PSF2	CCR5
PPH21	PPP2CB
VPS8	TM4SF1
FYV10	HOXB1
SRL3	PTHLH
GPA1	GNAI2
DSL1	AKAP3
YOR164C	PXN
SHO1	DCLRE1A
CKS1	CKS2
SWI1	DGCR6L
SNF1	PRKAA2
SRC1	LEMD3
FTH1	SRI
PDR17	CAPN3
RPS18B	KCNA4
RFM1	CEP135
HRR25	CSNK1A1
MNL1	MAN1C1
HTL1	PSAP
RPS30A	WIPF1
HTB2	PTMA
SUI1	CAMK2B
SET3	CCL13
CLN1	CCNA2
UTP22	TANK
LSM3	LSM3
MED6	MED6
BFR1	VCPIP1
EHD3	BACH2
RPL27A	PHLDA1
BUR2	RB1
FOL3	SERBP1
SSN2	MBD3L1
HOS4	ANKRA2
DRE2	CYCS
HCR1	RNASEL
SSL1	GTF2H2
ATP12	MLPH
SWI6	PLXNA2
SMX2	SNRPG
FYV8	SH3KBP1
BUD22	INHBA
MRPL36	CTBP2
GND1	SNX2
YDR338C	PACSIN3
TOR1	FRAP1
ZDS1	C3ORF28
PRP46	PLRG1
SCL1	PSMA6
UBP10	MEGF10
GCD14	TGM1
LYS20	HEY1
VPS45	BLOC1S2
NSE4	USP4
DLD3	CDC37L1
TPK1	SRC
RAV1	TOMM34
YPL009C	NR0B2
MRPL7	FRS3
UBX2	CAV2
GIM5	PFDN5
SEY1	PIGR
YPK1	CREBBP
MSH6	MSH6
RPS16B	RPS16
RAD50	ZNF655
CPR6	PPID
CDC36	NFATC2IP
FIG4	SYNJ2
GAL83	NUDT14
MMS21	KTN1
RPL17A	RPL17
PDR1	MMP7
AEP1	TGFBR3
SIR3	REL
VPS71	EPC2
YLL032C	RBPMS
IWR1	FADD
VRP1	RIMS1
RPL14A	AUP1
FYV4	ENAM
DAD1	MXD1
AIR2	MBD4
LSC2	GNAI1
RPL40A	UBA52
LUC7	LUC7L
PRE8	PSMA2
RPP1B	TH1L
RPL26B	YES1
ERG29	PKD2
RPA49	POLR1E
RPA43	PACSIN1
YMR262W	SPARC
RTN1	UBXD5
MPH1	IL5
YKT6	VAMP2
YCR076C	PSMF1
TIF2	PRSS3
NSA2	LDOC1
REV1	HSPD1
SLM5	DRD1
ASR1	GATA1
EMP24	TMED2
APC1	ANAPC1
GYP1	TBC1D17
NDT80	ADRBK1
CDC33	EIF4E
PRX1	PRDX1
MHR1	MEP1A
CPR1	PPIA
SPC97	NCALD
APM1	AP1M1
BRR1	LSM10
YGR017W	BAG2
SYF2	ROCK2
YPR174C	LENG8
TSC13	CD63
YLR072W	DEDD2
LSM4	LSM4
YMR185W	GRB14
SPP1	GLMN
PAF1	DKK1
HIR2	MED19
ADE13	ARHGAP26
RPL18A	SPATA20
SKI3	FKBP4
VPS36	MAP3K7IP2
CYR1	FGA
HMG1	EPB41L1
ATG14	CENPJ
RAD4	HIF3A
RTF1	DOK1
SEC31	GTF3C2
NAB6	E4F1
RIB7	SPTB
VPH2	KIAA1377
MMT1	RAF1
GLT1	AOF2
YHM2	PIK3AP1
RPD3	HDAC2
VPS51	LAMC1
KAP123	F12
MRPL20	C20ORF72
CCS1	MMP12
RRI1	CD9
TRS20	ID1
GLC8	CRSP2
SLN1	IFNAR2
MTW1	GZMB
ATG18	TRIM27
YJL070C	NOV
OCA5	CD247
SDC1	EGR1
PRP45	SNW1
ISW1	SMARCA1
SSA1	HSPA1A
YBR139W	HNRPH3
BUG1	TEC
RPT2	DLG4
MRPL44	TRPC5
PRP21	SF3A1
LUG1	MAP2K4
BEM2	ARHGAP9
DAM1	CEBPA
KAP95	KPNB1
RTS1	PPP2R5E
TAF7	PLDN
CSE1	CD14
UTP9	CD3E
YML6	SH2D4A
VPS28	TRIO
RFA3	JUND
VAC8	RAP1GDS1
RPL7A	RPL7
MRP17	COL4A6
PCM1	TNFSF10
MRPL27	TFRC
KAP114	RPS6KA5
NKP1	IL21R
DEF1	GGA1
LSM6	LSM6
CLF1	GEMIN7
PTK1	MAPK8
YBR238C	MAP4K1
TWF1	GRB10
RAD53	MAPKAPK2
PDR5	ABCG2
THI3	ITGA2
ARP6	ACTR1A
ENT3	EPN2
SEC21	TCF1
BCH2	JAK2
QCR7	HLA-A
SCP160	KHDRBS2
HSE1	STAM2
EST3	LAMA5
NVJ1	DICER1
HXK1	INS
RGP1	SBF1
RPL30	RPL30
PRR1	PRKCI
RIM11	GSK3B
SEC7	ARFGEF2
BCY1	GRB2
ZEO1	IL9R
YRB30	DNMBP
BEM1	NOXO1
PRP6	PRPF6
GSY1	S100P
NTR2	TRAP1
TIF35	CD1C
NSL1	CBX3
SOL1	PTPN2
SDS22	BGN
YOR356W	PKP2
SYN8	SNAP29
RTT103	MCM10
YPI1	TGFB1
LSM2	LSM2
YLH47	SIN3A
RPL25	TMF1
ELC1	TCEB1
SLM1	MAP2K1IP1
SEC15	TYK2
COX20	ADAM2
SUR7	AKAP12
SIP2	MTMR10
SKI8	EED
GBP2	SFRS1
SNT2	AKAP11
VPS35	RGS2
LOS1	KPNA6
MDM10	TOMM22
RNA1	LRRC7
HAP5	SUB1
ACO1	FOS
IMP3	TRPC4AP
UTP15	DYNC1I2
YOR262W	AFF1
TUB4	TUBG1
EGD1	SMYD1
PEX14	PEX14
PHO81	TAL2
TRS130	UBE2I
VPS54	DNMT3B
SIN3	SIN3B
DCW1	HLA-G
CIT1	CS
EAF1	RFX1
MRE11	MRE11A
RPN13	TCF3
YJR136C	ACTC1
DYN1	IL5RA
ERB1	GEMIN5
ICL1	EPB41L3
SNU56	INSM1
YEL043W	GRM8
SIF2	TBL1XR1
SUI3	EIF2S2
DST1	TCEA2
IMG1	PTPRJ
TSL1	UTX
EMP46	IQGAP2
SEI1	SDCBP2
RPC31	IGFBP1
RPL11A	NCKIPSD
PMS1	PMS2
RNH201	SHH
RIX1	NOTCH1
SWR1	EP400
MCD1	NUMA1
TLG1	EIF2C2
RLP7	CITED2
NCB2	TP53BP1
RSM23	DAP3
KTI12	STAT5B
YKR017C	TRIM11
MNR2	TRIM24
TIM44	TIMM44
DIG1	EIF4E2
VPS29	COL7A1
TIF4631	CLTB
DOP1	RNF2
SNF11	TRPV4
TAH11	NR5A2
MCM7	MCM7
ISA2	TBK1
BDF2	BRWD1
TFC4	OGT
BDF1	BRD2
GIC1	RECK
URB1	PIWIL1
DED81	DARS
SHE2	PURA
SUB2	PPARD
MRPS9	IL10RA
TIP20	RINT1
LEO1	CXCR4
TPI1	PAFAH1B3
KOG1	EIF4EBP1
MLH2	PMS1
YKU70	XRCC6
YPR036W-A	CRYGC
YOR111W	KIF22
SWD1	THRAP4
CKB2	CSNK2B
SPT15	TBP
RAD3	ERCC2
ALD6	SMAD6
PRE10	PSMA3
SEC16	KIAA0310
HYP2	COL5A1
MFT1	SRPK1
PDC6	PDGFRB
HRD1	TRIM2
YIL001W	ABTB1
PDC2	MET
GPI16	PIGU
YLR455W	RUNX1
PAT1	OTUB2
DUG3	EBAG9
CAP1	SH3GLB2
PTR3	PDGFB
QCR2	SBNO1
RPL33B	CAMK2D
RFA1	BARD1
MIS1	CPNE1
RPB8	POLR2H
CKA1	CSNK2A2
YKL023W	TNIP1
CIA1	WSB1
AIM21	CSF2
MYO3	MYO9B
YSC84	CRKL
FRS2	FMR1
OLE1	MMP9
SIN4	ELF2
PTC4	MAP3K7IP1
APL3	AP2A2
MRH4	KHDRBS3
SOG2	TRAF2
ATG17	EFCBP2
CTI6	PAPPA
MRP1	PARD3
RPS9B	RPS9
HFD1	HES1
RNR2	CSH1
APS1	TGOLN2
PRE4	PSMB4
RRS1	JAKMIP1
YJL049W	JARID1A
ERV46	PREI3
SGN1	RBMX
UMP1	SIX3
NAM8	TIAL1
CDC3	SEPT5
SHG1	CDC42BPG
RNR4	FLT1
SLD5	USP9X
YHR020W	DLGAP1
RRN6	CACNB4
SPC25	PEX19
HXT4	SLC2A1
DHR2	COL13A1
SRP40	MTSS1
LRC4	LRP1
YME2	SH3GL3
LAG1	C4ORF14
ULP1	TENC1
MRPS5	FGFR1
INO80	BTAF1
BMH1	YWHAE
APC9	ANAPC4
IDH1	TUBB4
PPH22	PPP2CA
ROT2	TRIM9
TRK1	EDG1
RPN7	IFNAR1
IKI3	IKBKAP
GDI1	SMAD1
PRM8	CDYL
HHT2	H3F3A
TPK3	PRKACA
DPH2	TAC4
TSC10	LRG1
AHA1	AHSA1
UTP8	FBXL11
IST2	TACR2
SNP1	SNRP70
PDR12	COL4A3BP
PTC2	PPM1A
TRM7	SMURF1
RRP3	CISH
SIT4	PPP6C
FMT1	GIPC1
AIM30	BAZ1A
LRC6	STAT6
MRPL4	MCRS1
WHI2	GTF2F1
PDC5	PTPLAD1
FAS1	CSRP3
SHP1	AHR
YFR006W	TOP2B
NUP159	EPOR
NAN1	TLE4
LRP1	FNBP1L
GEA2	ARF1
RPT3	ANGPTL3
SPC19	TBKBP1
SIR2	STAT5A
COG6	PRTFDC1
RPP1A	CEACAM1
HAT2	RBBP4
YER156C	BIRC2
SER33	HAPLN1
UTP21	THRAP3
DSS4	ACVR1
SMB1	SNRPB
STE23	CDC42SE2
FAA4	PDK2
IFH1	MEIS2
SRP14	MCM2
ATG26	DOK4
YMR187C	TAF1
RPS24A	FGF4
SGF29	ITGB4
IDH2	CRMP1
RMP1	CNNM3
RMD9	ARF6
TPD3	PPP2R1B
IML3	NEDD9
RPB7	TNFRSF14
YHR009C	PLG
RTS3	TBCD
RPL18B	STMN1
MRPS28	RYR2
MNN11	PHC3
POP1	HSPB1
PIR1	RCC2
VMA4	FRS2
NGG1	CXCL1
SRO9	LARP1
YPK2	EP300
YPL088W	CDC42SE1
CCP1	CASK
THS1	ANKHD1
OKP1	IL3RA
MSN5	SORBS2
MNN9	RBL1
PFD1	FRMD6
CAM1	TRIM3
ILV5	SUMO4
CPR4	PPIB
ERV29	TTR
SSN8	CCNC
PRC1	MMP3
ERO1	COL1A2
IES3	LDHA
CDC48	VCP
TDH1	GRM1
FMP32	SYNGAP1
STI1	STIP1
CSR1	VWF
CNB1	PPP3R1
CBF5	DKC1
RPL31B	GLG1
CWC22	C18ORF54
CPA2	ARAF
YPS7	OPRD1
CYS4	CBS
STE50	FYN
MAK21	CEBPZ
VTC1	GPHN
TMA22	PAX2
RPS11B	RPS11
MRPL9	FGFBP1
SWD3	WDR5
RGD1	CHN1
NPR2	BCL2L1
CCT4	ARL15
TRS31	ITPR3
UBA1	UBE1L2
RPB11	PPARBP
RPS9A	PPP1R8
RNA15	RBM23
RLR1	DST
TIF34	EIF3S2
RPL33A	BLR1
SOH1	MED31
YKL100C	KCNA5
NOP15	SFRS3
CUS2	NMI
RPA12	ATF7
MAP2	METAP2
SFP1	GTF3A
SPT20	MED9
CRD1	MIA
SAP155	ARHGAP15
BUD23	GNMT
RRD2	PNMA2
FBP26	PFKFB2
KAE1	SELP
GYL1	NF2
TFB1	GTF2H1
SUT1	MAN1A2
PLP2	ACTB
ISY1	SFRP2
PNG1	CLUAP1
RPC11	SH3BP2
PSY4	EXPH5
TAF10	ILK
MRPL39	CDX2
CLP1	UBQLN1
TUB1	TUBA1
NUP116	BUB1B
HKR1	EIF2AK2
YCF1	CFTR
TAF8	GOLGA2
COG8	COG8
RPS10A	GATAD2B
STE12	SATB2
YLR257W	KLC2
COG2	MAP3K4
DBP7	FES
PEX11	PPARA
SPO7	LDB1
SRB8	MTA3
SNF12	SMARCD2
SNT1	GCM1
PIK1	PIK4CB
RIM1	COL2A1
SEC66	AGTR1
STV1	CBX4
ERP5	TP73L
ORC6	MCM4
SHS1	PRKG1
RET1	BST2
YGR266W	TCF25
COX9	AR
ECM17	GRIN1
YGL039W	ASCC2
POP8	THRB
APL4	AP1G1
TMA7	NR2C2
EFG1	GDF8
VID24	KIF13A
TMA16	ATXN2
SPP382	TNIP2
SDS3	BRMS1L
AME1	THBS1
RPL6A	RPL6
SSP120	HGS
YMR031C	DPP4
NBP35	HDAC1
ELP3	NDUFB9
SEH1	PEX7
SLY1	STXBP3
CFT1	MAP3K8
YGR130C	CCL5
NOP6	TFR2
MRP10	DPP3
TDH3	GAPDH
REG1	YWHAH
DAK1	TSPAN4
KTR2	NBN
SIL1	IGF2
IMP4	HDAC6
DIM1	CD8A
VID27	CCNE1
APL1	AP2B1
FAR8	KIAA0802
RPL13B	RPL13
YOR1	ACTN4
MSH2	MSH2
RIC1	DISC1
KRI1	EIF3S6
MSB2	ITSN1
DML1	ALDOA
MRPL13	FHL3
SEC26	VWA1
PSK1	PIM1
RTT105	TAF4
PAP2	SVEP1
