yeast	human
MPE1	DNMBP
RPL36B	CAV1
SMD3	NFKB1
MRPL3	RPA1
MRPL20	WRN
LCP5	SOCS6
PAC10	RPP14
PFD1	RPP25
TAF12	CYBB
CBF5	CCR5
TAF4	PIGT
TAF10	PARK2
MTR4	TSEN2
LPD1	MDH2
KGD1	WARS
NOC2	RB1
GYL1	IL16
RVS167	KCNJ4
RPL19B	BTK
PLP2	SNRPA
CCT8	SFRS2
RPL33A	MAPK8
SCL1	XRN1
PRE2	COPB1
DIS3	SH3GLB1
MTR3	SH3GL1
PRE8	LSM3
RPS26B	RAPGEF1
MRPS5	GNB4
MRT4	SMAD2
RSM25	GNB5
MRPS8	GNG13
SCP160	CD3E
SPT16	PFN1
YNR036C	ARHGEF18
MAK21	BRCA1
NUG1	SYN1
RPL6B	FYN
NOG1	CSNK2A1
TAF11	PIGS
SPT15	IQGAP1
RBG1	EPHB2
SRP14	HLA-DRB1
LHP1	CD82
RPS22A	BCAR1
SSF1	ELK1
RFA3	PMCH
RIM1	OLFM2
MSI1	RDH5
RLF2	RGR
PAB1	TP53
YTA12	AKAP4
STE2	AKAP3
RTT102	CASP6
RGR1	PES1
NHP10	OCLN
ACT1	ACTA1
TIF6	TGFBR1
CTK1	RASA4
GBP2	ERBB3
MRPL15	CDK2
EBP2	CREBBP
RPL23B	CDH2
RPL13B	CBLB
YHI9	ITGAV
RFA2	NPY
LCD1	NPY5R
RSM26	CACNA1A
RSM27	GNB1
RPS16B	NTRK1
DBP10	CHUK
SGF29	B4GALT1
YRA1	SMAD7
SRC1	MAP2K3
GIM5	POP4
GIM4	RPP38
FBA1	HSPA5
RPL40A	SDF2L1
RPS20	CD247
BEM2	FCGR3A
AFG3	PRKX
RPL17A	RASA1
CFT1	WASL
YTH1	PACSIN1
RPS5	PRKCA
SPT3	NOS2A
MRPL10	CDK6
MRPL40	RBL2
MTR10	CALR
TUB1	SUMO4
TSR1	CISH
RFC2	CHRM2
ELG1	ADRB2
MRPL6	CTCF
MRPS35	NME2
SNU23	POLR2H
GRH1	PRKCB1
VPS21	GCNT1
STM1	KHDRBS1
CAF130	PDHB
EGD2	DAPK1
RPL8A	SYK
MIS1	VAV3
NAS6	EXOSC1
JIP5	CEBPA
GPM1	SNW1
ACS2	SNX6
RPS8A	SRC
CKB2	EPB49
VHS3	PROCR
TAF1	GPAA1
MRPL4	PARP1
IES2	CGN
DBP9	CEBPB
HMO1	GSN
YAR010C	PAK2
RPS14A	KDR
RPC82	FGFR3
RPC25	SPP1
RPL27A	PAG1
CDC11	VPS4B
BUD4	PCOLN3
MRPL17	KPNA1
YHR131C	CADPS2
MED8	PIN4
RPL29	SHB
PTA1	ABI2
RTF1	LASP1
RPT6	EXOSC6
RPN3	UPF3B
POB3	ACTB
RPN2	EIF4G1
EFT1	HNRPU
YBR246W	CR2
MED6	RPL21
GUS1	PCBP1
TSA1	ARL6IP1
YAP1	RPS6KB1
GLC7	TOM1L1
REG1	DRD1
GCN1	NCL
YHR020W	SYNCRIP
PRP40	TRAF2
LEA1	POLR1D
UTP30	PARD3
RPS17B	CBL
RPS25B	ITCH
NIP7	SMAD4
TOP2	CBLC
PBP4	FCGR2A
HAS1	JAK2
BRX1	CTNNB1
RMD5	TLK1
PRE7	UPF3A
PRP11	IQGAP2
NSA1	RELA
IMD3	GRB10
IMD4	SOCS3
UTP6	MAP3K3
TAF5	EIF3S6
SPB4	HDAC2
ISW2	CTNNA1
DPB4	S100A8
POP4	SDCBP2
SNM1	CNTN2
GSG1	EXOSC3
TRS120	ATG7
TUB3	HNRPAB
RSM18	GNG11
RSM28	RORB
DAD2	NOD1
NSL1	DAG1
TAT1	ECH1
DIP2	PRKCG
GLE2	DHX29
NUP116	EAF2
SEC53	RPL7A
PRP42	TRAF1
PRP39	RASAL2
SIT4	FGFR4
RPS26A	PPP2CA
SRB6	RPS3A
RPF2	PAK1
NOP53	GRAP2
UTP15	KRT18
PWP2	MARK4
CKA2	DMD
HOT1	DRP2
MRPL24	LMNA
MRPL23	DHX9
MSL1	MCC
MRPL36	CDK5
HAT2	ICAM1
HHF1	VIL2
COG1	RIMS2
PSH1	ENAH
POR1	ARHGAP1
NOC3	JUN
LOC1	TP73
FIP1	SPTA1
REF2	PLAUR
RSM24	GNGT1
RSM19	KCNJ9
HYP2	BMP7
CWC22	SPAG9
BUD31	PPP6C
TIF4632	FES
APC9	RAD21
DBP2	TNFRSF1A
CIN4	NSMAF
BLM10	LSM2
RPT5	EXOSC2
BFR2	GRAP
ENP2	PRKCI
TIF5	ITGB1
ASC1	ITGB4
LUC7	COPS3
UTP22	AXL
ENO2	TUBB
POL4	SKIV2L2
RPL10	STAT3
MRPL39	CCND1
RTN1	DEFB103A
PEP4	CCR6
LSB1	SYT6
ISA2	WAS
FPR3	SDCCAG3
TAF3	ARHGDIA
RPL43B	CD2AP
VPS1	CDH1
HHF2	ADRA1B
RLR1	TRPC4
HRB1	TRPC6
ARP8	TJP3
TIF2	PFKL
LYS12	CCNT1
RPT3	ELAVL2
RPC31	HBEGF
MDN1	HSPA8
HDA1	SUCLG2
HDA3	GPR143
SPB1	EP300
RIX7	NCOR2
SEC3	TRAPPC3
SEC10	TRAPPC4
MRP1	GNG3
PMA1	BMX
PTI1	NCK2
MUD1	CASP8
PNO1	TSC2
ENT3	OIP5
NOP14	CDC42
GFA1	UPF1
DIM1	HSPA1A
APM4	VPREB1
APL3	IGHM
UTP8	BAD
BUD21	SUGT1
MRPL16	PCNA
RPS28B	IL2RG
VAC14	CX3CL1
FIG4	CX3CR1
NUP120	CHML
SEC13	CHM
SWH1	FNDC6
OSH2	IL20
SEC21	ZNF165
GLO3	SUFU
LSM4	MAP3K8
LSM5	GTF2I
SDC1	BDNF
SHG1	NTF3
ARP4	U2AF1
SWC5	PCF11
RPL17B	MAPK1
TRS33	ATG3
MOT1	MUC1
NAM9	GNB2
NAN1	PARD6B
YGR054W	PIK3CG
YKU80	F13A1
YKU70	FGG
NOC4	MAP2K5
YKE2	SPINK7
CSR1	KEL
CHD1	XPO6
CDC28	RFX1
CLB3	ZNF167
CTF3	BCL2A1
NKP1	BID
YGR126W	CTLA4
PRP45	FBXW8
GCN3	CANX
GCD7	TSPAN4
SNF2	RIBC2
EDE1	POLR2K
CMK2	HELZ
YAK1	CXCL16
YPL247C	CXCR6
NUT1	FN1
TRA1	SNRPB2
SNU66	POLR2L
SNU56	RIPK2
FKS1	PRKACA
BNI4	CC2D1A
HTL1	PSEN2
MRP20	H2AFZ
CDC33	NPM1
CAF20	ZC3HC1
RPP2B	TEC
ECM10	ATN1
TRX1	TNS1
RPL11A	SH3BP2
RRP1	RUNX2
HRR25	HSP90B1
CSE2	GTPBP4
RPL33B	TEK
SPT20	NOX1
ASF1	RDX
HHT2	SPN
SPT8	NCF2
RLI1	PIK4CA
RPB9	GRM5
RPL9B	PIK3CB
SMC3	HIST2H2BE
CPA2	HIRA
PRP21	PDCD2
YGR283C	NUCB1
LSM1	RPS13
SNU114	REL
SSZ1	ARHGEF6
HTA2	ACTR3
HHT1	ACTG1
HAT1	MSN
ORC2	CDC73
HSP60	SLC2A4
MTO1	IDH2
BCY1	CCDC67
TPK2	IFIT3
PRR1	HADH
RPT4	UPF2
RVB2	TJP1
SWC3	MAP1A
RPB10	PICK1
RPN7	NXF1
EAF1	SF3A2
YNG2	SNRPE
RPN5	DCP2
SEC23	IFNAR2
SEC24	FANCF
SEC6	TRAPPC6B
ABP1	APBA1
IDH2	POLR2A
RPN1	PARN
TIP20	GRIK5
YKT6	PRSS1
ECM16	MAP3K5
POP5	NFASC
POP6	KCNAB1
SSN3	DDX5
RPS19B	CSF1R
KGD2	CDK2AP2
UTP20	YWHAZ
PUP3	LSM4
CSN12	COPS7B
FUN12	CXCR4
ACO1	DBI
ALG12	TSPO
VMA8	SMAD1
VMA2	PAFAH1B1
INO80	CLDN3
RPL19A	FYB
SKI6	EMD
MGM1	ZNF588
NOP58	TIAF1
SNF12	PIAS4
ILV1	HNRPF
MNN11	AKAP1
RPS30A	FRS2
KAR2	TRIP13
GCD2	CD9
UME1	SNRPB
EAF5	SF3B4
RPS16A	CD22
POL12	PDHX
POL1	PDK2
NOP4	CDC37
EPL1	SNRP70
MRPL28	XRCC5
MRPL8	NCOA6
IMG1	HIST2H2AA3
SWC4	MRE11A
SWR1	PRPF8
WHI2	CHRNB4
PSR2	CHRNA4
MHR1	CDC2
LSG1	SOS2
SEC15	MBL2
GCN5	DDX24
SWI1	HABP4
CDC26	IFT88
RSM10	GNG12
SWS2	GNG5
YMR310C	GNAO1
LSM3	CNTFR
PRP24	GLG1
SWP82	SERBP1
SGF11	NOXO1
ORC1	ANXA6
CUS1	POLR1B
PRP9	KPNA2
EAF6	SRPK1
SAS3	GMCL1L
NTO1	GAGE8
DLD3	TRIM3
PRE5	THOC4
RRP9	PARD6A
YAR075W	PERQ1
YGR272C	CRLF2
PRE6	MCRS1
MRPL44	GADD45A
NET1	FGF3
SIR4	CTAG1B
MRPL13	TOP2A
SNT309	SAPS2
RIO2	CDKN1B
KAP104	GAPDH
ASE1	IL2RA
RET3	SCAND1
SHE3	MYO6
SGN1	SNRPN
BET3	ATG12
YHR122W	GALNT14
CIA1	GALNT12
IMG2	CDK4
MRPL33	CCND2
CMD1	DLG1
YNL208W	MYL1
TIF35	CD81
SAP155	EPHA4
ZUO1	ITGB2
RFC5	GNA15
RFC3	IL8RA
BRR1	RPS11
CDC40	FBXW5
GCD14	ICOS
GCD10	ICOSLG
RPL2B	PIK3R2
RRP40	AMPH
RRP43	SYNJ1
RPN12	NCBP1
MPH1	MC4R
UTP10	ARHGEF2
RCL1	DOCK7
CLF1	ANKHD1
CDC36	UTS2R
NOT5	UTS2D
RTG1	PTPN14
CTM1	C12orf11
HOM6	ZNF655
ISW1	CTTN
HTB2	ACTR2
RPL21A	CSK
SRB5	RPL10A
YGR250C	CDC14B
YGR149W	TTF1
SAM1	HNRPH1
ARO1	SFRS12
MCM16	BCL2L10
RTT101	PAX6
MMS1	CHX10
COG2	RPH3A
CEG1	NUP93
CET1	NUP205
RPC53	TFPI
RPC19	FGF2
TFP1	ELAVL4
RPO21	GRIA1
AME1	VASP
RSC2	CASP7
EAF3	SFRS1
YAF9	NUDT21
UBC13	AMIGO1
RPL12A	HRAS
HFI1	NCF4
RRP5	HSP90AB1
TAF9	PIGK
MRP7	PDE4D
EXO84	TRAPPC2
SEC8	TRAPPC6A
ATP1	PCTK3
YKL023W	IL11
RFA1	IAPP
MEC1	GHRL
BUD27	MT1H
POP2	DLD
DEP1	PHF5A
RXT3	C21orf77
PXR1	RBM19
BRE2	NTF5
SRP68	HLA-DRA
RPC11	MMP9
SWD2	NTRK2
PFK1	SMN1
RRP4	SH3GL2
DDI1	TACSTD1
MRP17	KCNJ6
PRP3	CD3EAP
PRP31	NFKBIB
SGF73	NOXA1
GEA2	PDIA3
ENP1	HSPA9
RPS18B	IL3RA
RPG1	PRKCE
EMG1	PFDN2
KAP114	ARPC1B
PAP1	EVL
YSH1	WASF2
TOM40	SNUPN
MDM10	IL17B
ARP5	PLD1
PDB1	NASP
PDA1	ULK2
APS1	RPL9
APL4	SORBS2
OSH7	PHB2
NUT2	RPL4
GAL11	RPL26
RRP42	PDCD6IP
SME1	MTIF2
NOP6	CDC25C
STH1	CDH5
RSC8	PSEN1
IKI3	TLR1
ELP4	TLR2
MYO5	TPM1
YGL157W	S100A2
CDC25	IGHG1
SFH1	CASP4
RSC3	GSK3B
MCM21	NOL3
SNF6	NEFL
CDC19	FXR1
CSL4	ATXN2
YLR408C	GUCA1B
VAB2	GUCY2D
MRPL27	CCNB1
EAF7	SNRPG
NUP2	PKNOX1
DPB2	IFNGR1
SET7	TLX3
LUG1	NMI
NFI1	PKP4
ACC1	PURA
CCT5	PPM1D
MRP49	PTMA
MRPL9	PRKDC
INP52	GRIK2
BSP1	DLG4
ACO2	HSPB9
ILV5	DYNLT1
PAP2	CCNT2
ARP6	MAP1B
OYE2	QKI
RAD14	FUBP3
RSP5	PLXNA2
ALY1	KIAA1199
CTF19	MCL1
ESF2	MAPK14
RFX1	FAM84B
RSC4	CASP10
RSC30	CASP1
SIF2	HOXA5
SCC2	CENPH
SCC4	KIF2C
RPS10A	INPPL1
VMA6	B2M
VPH2	CD1B
ATP22	ZNF350
HRP1	ARL6
MNN10	HLA-A
EFT2	SFPQ
PSE1	SRF
ULP1	MYOG
RPB8	ARF1
DPH2	POU3F4
KTI11	POU3F2
ATP16	GABRA2
FIT1	GABRG2
YMR118C	GABRA1
POL5	SMARCA4
ESA1	SF3B1
SSC1	RBPMS
MKK1	DVL2
TEF1	PCM1
HOC1	MAGEA4
SAP185	TNF
MDS3	LTA
MDJ1	DUSP5
PSA1	IKBKAP
YOL098C	KIR3DL1
FAS1	VCL
IMD2	PTPN2
FYV10	UBL5
MRPL25	HMGB2
ESF1	CENTA1
NPL3	TNFAIP3
RPO26	APTX
URN1	HIST1H3G
TRZ1	NMU
YMR099C	NMUR2
SIN3	SF3B3
SDS3	TRAP1
SAP30	SNRPD1
SNU13	PLD2
PAT1	KPNA3
APS2	VPREB3
KEM1	IL6ST
SEC27	PDLIM7
SEC28	ZNF434
ANP1	HAND1
URA3	DOM3Z
ECM29	DCP1A
MIR1	NR3C1
RAV1	SMAD5
CPR1	LDLR
YJR011C	PDHA2
BTT1	TRADD
NUP1	HOXA7
ADD66	SKIV2L
PBA1	GALNT13
YDR341C	CALB1
NHP6A	ITGB3
HPR1	TRPC1
RSC1	CASP14
RPC40	FGF1
SEC5	TRAPPC1
PHO23	SNRPA1
AAP1	UBE2L3
RXT2	SF3B5
TRM7	PDCD1
YMR259C	PDCD1LG2
POL2	PRMT1
SUI3	DAB1
TFB1	PLXNB1
CDC23	APC
SYF2	IRF3
NTC20	SERPINB2
RRP7	FLT4
TRS31	GABARAPL1
IES3	CLDN1
LAT1	LUC7L2
RVB1	EGFR
VPS71	ARHGEF11
SPP382	ANKRD28
CKS1	NFIC
CTI6	SNRPD3
TDH1	BMPR1A
SSB2	GIT1
YFL034W	SSPN
RPN9	MAGOH
RAI1	TRAF6
FMP41	ELMOD1
ISN1	THG1L
GID7	TLK2
RPA43	COL1A1
ECM2	FBXL11
QCR2	PRLR
SNF7	NMBR
VPS4	NMB
GDB1	PRPF6
SPG5	PPM2C
IPI3	WEE1
CWC2	SAPS1
UTP5	KIAA0802
SOL1	ADA
SFB3	IFNA2
RPB3	RALA
BUD3	XRCC6
RPL37A	PTPRH
BUD20	RHOA
YIL172C	LAG3
IES1	TJP2
YOR1	HES5
FYV4	PRPF3
ILV6	CSRP3
PEA2	DENR
SPA2	MCTS1
RPL34A	CD34
HHO1	ADAM15
PIL1	NRXN1
MLC1	CASK
RPD3	NRG1
RPB7	EFNB1
OGG1	GARNL1
RPF1	FOS
FAR11	DPYSL5
IML1	ZYX
CDC34	NANOS1
BUB1	TIMM10
BUB3	TIMM9
NOP10	GNAI3
IPP1	NPHP1
TRX2	MERTK
PRE1	RBM8A
RPB4	EFNB2
OCA1	GLUD1
OCA2	KPNA6
RSM22	GNB3
ELP6	MYD88
RPC34	CSNK2B
PET123	GNG4
TIF1	MATR3
URA2	ASF1A
CKA1	SNRPD2
CKB1	ACTC1
UBP8	GDI1
NCE102	TAPBP
VAC8	TAP2
YCK2	GABRB2
HSC82	EDD1
PGI1	YWHAG
YLR407W	SGCZ
APL2	LPXN
RPC17	MMP1
HSP82	CIB1
RAT1	LALBA
TDH3	EEF1G
ABZ1	CARS
COX20	GPD2
CHS1	ALDOA
TRS20	PLN
RPS10B	DNM1
MKT1	RAB7A
VRP1	TGFA
LAS17	MAGI3
SEN2	NMS
SEN54	NMUR1
SRB7	RPS9
LTV1	WDR6
GCD11	CD63
HCR1	ITGA3
BET4	GIP
BET2	GIPR
PDR5	RRS1
LAG1	ARIH1
SSU72	PFN2
RPA49	FGFR1
NGL1	LEPRE1
VID28	MBP
MLH1	MARCO
MLH2	SCGB3A1
HAP2	GLE1L
HAP5	NUP155
SEC65	CD1D
NPL6	CTNND2
YBL104C	FBXL7
CAM1	BMP6
HSP104	ACVR2A
EGD1	UNC5B
AMN1	PARVB
GTR2	AK5
UPF3	C1orf116
RET1	SDC3
SLM1	ACCN3
IES5	WNK4
ARC19	RPL12
ARP2	ILF2
YKL088W	DTNB
MPM1	ENO2
YHM2	ENSA
DCC1	RAB11FIP2
CTF18	IL8RB
SPS22	CKB
SLM5	CKM
SSL1	PLXNA1
FPR1	RND1
SIP1	SEPT2
RAD4	PPM1A
MAE1	HNRPD
PUP1	LSM6
SPT4	GRIK1
SCS3	PCBP3
SPT5	NF2
TPI1	DDB1
NUP84	RAB3A
MTR2	DMXL2
THP2	ITPR3
UTP9	PPP2R1A
ROT2	IGBP1
MYO1	DTNA
PRP19	BTRC
MRPL7	CDKN1A
RPB5	CD44
RPS17A	MET
ATP8	RNF144
MRPS18	SYT1
GRS1	MYO5A
PRE10	COPG
RPT2	RNPS1
BOI1	TP53RK
YBR238C	TPRKB
YNR024W	ADRB1
ECM30	PITPNC1
UBP15	AGTRAP
LSP1	MACF1
SAK1	MYH10
RIX1	PML
TPD3	PRKAA1
CDC55	PRKAA2
YTM1	MYC
SSA2	ACTN1
ADE3	PILRB
HEK2	ARHGEF5
UTP4	PNMA1
IWR1	TANC1
TEF4	GDF5
YHB1	RPSA
RPB11	SDCBP
PTC6	CD6
ADH2	GDF6
HXK1	RRAS2
ELA1	IL27RA
PGK1	TUBB4
GYP1	TTBK1
VPS45	SPINK1
SEC17	REG3A
HIR2	IL10RB
HIR3	IL22
SPF1	MAP6
CCL1	BAG1
YAR1	ENPP1
ERG1	SYT8
DMR1	PDCL
SPC98	RRAGC
SPC72	NOL8
CCT6	RBMX
UGA1	S100A14
NDT80	S100A16
YDL089W	TAOK1
POP7	CNTNAP1
RAD1	YIPF5
SAW1	ARFGAP1
DYN3	DMN
EMP24	LIFR
ERP5	ALG10
YML6	CCNA1
YMR209C	KLRD1
ZRC1	HLA-B
TIF34	ITGB5
PPH22	CFTR
RTS1	PRKAB2
MBP1	STMN3
SWI6	SPCS2
ADH3	ARF3
PAN2	RFWD2
PAN3	SIPA1
SAM2	EPRS
RNR1	SCYE1
PRT1	PLEC1
LRP1	DPPA4
YAE1	SPTLC1
YNL260C	SPTLC2
DDR48	GABRQ
YBR137W	SMAD9
YOR164C	UCHL5
SIN4	CDC2L2
SSN8	TMPRSS6
GND1	LIME1
OLE1	UNC119
SNF5	CHD3
BUB2	MRPL28
PWP1	HSF1
MED4	TPX2
SDS22	KNTC2
POL32	LIG3
POL3	XRCC1
SMX3	TBK1
CDC6	TXNDC11
YDR196C	DUOX2
POP3	TNR
TOM1	PLEKHB2
SAP190	CENTG1
RPC37	MMP7
UTP18	KCTD20
NAT1	SH2B1
NAT5	KIAA0319
ARC18	RPL13
NUC1	IL21
GSY1	ATP7A
GLG1	CP
RPA12	NRP1
SBE2	KLRA1
RPA34	HSPG2
TUB2	CPSF2
BET5	ATG4B
YJR136C	BHMT
YKL033W	CRYGS
ERV25	KCNH2
SET1	NGFR
RNA14	WASF1
CTK3	C20orf3
CTK2	OVGP1
VMA7	CD8A
YGR017W	ZNF396
VIP1	ZNF397
CCT4	HNRPR
ROK1	PNMA2
BUD7	SSR3
LAA1	BAT2
PET9	IL1RN
MRS4	ANXA11
RNR4	BPY2
WTM1	MAP1S
RAD10	YPEL4
RCO1	DHX15
CYC8	PLXNC1
TUP1	SEMA7A
SNT1	PF4
NUP145	RABGGTA
PRE4	LSM8
GNA1	COPA
CIN8	MRPL12
ZWF1	TMEM51
TVP23	TMEM132A
NAR1	LOXL4
HSH49	NUP50
TPK1	IFIT1
PUP2	COPG2
SVF1	GMPPA
MRI1	GMPPB
RPL43A	RAGE
NOP8	CHGB
RNA1	TMEM4
ADE4	MYLIP
MSP1	MPHOSPH10
YJL123C	IMP4
RRI2	CRB3
SKP1	MPP5
NAB2	PPM1E
MNN9	PRKAR1B
TFB3	POU3F3
KIN28	EPHB6
ORC4	LTK
SIW14	IDH3A
NUP85	RABGGTB
MEX67	PTP4A2
ATG11	MAP2
CIS1	CPEB1
RRP46	DNM2
RSM7	GNG2
UTP21	CYFIP1
DLS1	VEZT
IOC2	ANKZF1
IOC4	NRSN2
YGL242C	TMOD2
SWP1	WT1
OST1	CIAO1
VTI1	TST
SHE2	GLS2
ASN2	MAT2A
ASN1	MAT2B
PRE3	LSM5
NUP170	GRHL2
NUP53	GRHL3
CDC123	PTGFRN
POP1	SCNN1B
CHS5	KRT5
BCH2	RPS6KB2
NVJ1	MYST2
COG6	RAB3B
RPN8	EXOSC4
HTZ1	ARPC5
RPP1	CNTN1
HSP42	CFL1
TDH2	BMP4
RPP1B	IFNW1
MTF2	C14orf133
SLS1	VPS33B
PPH21	PRKAB1
ZDS2	PRKAG2
NAP1	FGFR2
HTB1	PKD1
POP8	CNTN6
NUP159	PPCDC
CRM1	PPARGC1A
LSM8	DDX3X
GDH2	PBX2
TSC11	APOA2
LIP2	APOC1
GIR2	GCAT
RBG2	TDH
CSR2	ARL8B
SRP54	HLA-DMA
EXO70	TRAPPC5
HIF1	ICAM2
ZEO1	GPR125
URH1	COPE
HIR1	UCN3
UBP2	FNBP4
RUP1	IFT80
OKP1	BAK1
SYP1	SMYD3
RPL14A	RIN1
RNH1	ROBO2
VAS1	SLIT2
MSS116	SH2B3
CCT2	SRRM1
RPL23A	NCF1
PPZ1	SPBC25
SNF8	NPB
VPS25	NPBWR1
STI1	PLK2
WRS1	PPIL1
MYO3	KCNJ10
YDR133C	SUPT4H1
BMH1	GRIN1
MYO4	KCNJ12
DBP7	DLC1
APC2	MAP3K10
APC5	SMC3
ERP3	KCNE2
XBP1	LSM10
GON7	HBB
BUD32	HBA2
SRN2	MFI2
MVB12	DERL2
SKI7	BIN1
SWI3	VIM
YGR266W	PHF1
YFR006W	C4A
CNA1	MPP2
ERD2	SLC2A1
IPI1	STRAP
FMP27	ACTR10
RAD53	IL22RA1
SMC1	PIP5KL1
PHB1	HSPD1
SNA2	DERL1
