Entry	Gene names	Entry name	Gene ontology IDs	Organism	Protein names
Q0PAS1	cbf2 peb4A Cj0596	CBF2_CAMJE	GO:0003755	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Putative peptidyl-prolyl cis-trans isomerase Cbf2 (PPIase Cbf2) (EC 5.2.1.8) (Cell-binding factor 2) (Major antigen peb4A) (Rotamase Cbf2)
Q0PC56	cdtA Cj0079c	CDTA_CAMJE	GO:0030246; GO:0009279; GO:0009405	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Cytolethal distending toxin subunit A (CDT A)
P56970	groS groES mopB Cj1220	CH10_CAMJE	GO:0005737; GO:0006457	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	10 kDa chaperonin (GroES protein) (Protein Cpn10)
O69289	groL groEL mopA Cj1221	CH60_CAMJE	GO:0005524; GO:0005737; GO:0042026	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	60 kDa chaperonin (GroEL protein) (Protein Cpn60)
Q0P9X6	cheR Cj0923c	CHER_CAMJE	GO:0006935; GO:0008983	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chemotaxis protein methyltransferase (EC 2.1.1.80)
P0C635	cheY Cj1118c	CHEY_CAMJE	GO:0097588; GO:0006935; GO:0005737; GO:0046872; GO:0000160	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chemotaxis protein CheY homolog
Q9PI02	clpB Cj0509c	CLPB_CAMJE	GO:0005524; GO:0005737; GO:0019538	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chaperone protein ClpB
P54413	clpP Cj0192c	CLPP_CAMJE	GO:0005737; GO:0004252	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)
Q9PNI7	clpS Cj1107	CLPS_CAMJE	GO:0030163; GO:0006508	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP-dependent Clp protease adapter protein ClpS
Q9PIM0	clpX Cj0275	CLPX_CAMJE	GO:0005524; GO:0006457; GO:0008270	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	ATP-dependent Clp protease ATP-binding subunit ClpX
Q0PAS7	cmoA Cj0590	CMOA_CAMJE	GO:0008757; GO:0016300; GO:0002098	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	tRNA (cmo5U34)-methyltransferase (EC 2.1.1.-)
Q0P9S6	cmoB Cj0976	CMOB_CAMJE	GO:0008757; GO:0016300; GO:0002098	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	tRNA (mo5U34)-methyltransferase (EC 2.1.1.-)
Q9PPF2	coaD kdtB Cj0767c	COAD_CAMJE	GO:0005524; GO:0015937; GO:0005737; GO:0004595	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
Q9PMD9	coaE Cj1530	COAE_CAMJE	GO:0005524; GO:0015937; GO:0005737; GO:0004140	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)
Q0PBB6	coaX Cj0394c	COAX_CAMJE	GO:0005524; GO:0015937; GO:0005737; GO:0046872; GO:0004594	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)
Q9PPI1	corA Cj0726c	CORA_CAMJE	GO:0015087; GO:0016021; GO:0015095; GO:0005886	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Magnesium transport protein CorA
Q9PHZ4	crcB Cj0517	CRCB_CAMJE	GO:0015103; GO:0005887	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Putative fluoride ion transporter CrcB
P71128	cysM Cj0912c	CYSM_CAMJE	GO:0006535; GO:0004124; GO:0030170; GO:0016740	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)
Q9PPB4	dapA Cj0806	DAPA_CAMJE	GO:0008840; GO:0005737; GO:0019877; GO:0009089	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)
Q9PIT2	dapB Cj0197c	DAPB_CAMJE	GO:0008839; GO:0051287; GO:0050661; GO:0005737; GO:0019877; GO:0009089; GO:0016726	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
Q0P823	dapD Cj1605c	DAPD_CAMJE	GO:0008666; GO:0005737; GO:0019877; GO:0009089	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)
Q0P9K4	dapE Cj1048c	DAPE_CAMJE	GO:0050897; GO:0019877; GO:0009089; GO:0008237; GO:0009014; GO:0008270	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)
Q9PMD8	dapF Cj1531	DAPF_CAMJE	GO:0005737; GO:0008837; GO:0009089	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7)
Q46121	hup hupB Cj0913c	DBH_CAMJE	GO:0003677; GO:0030261	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA-binding protein HU (HCj)
Q9PII5	lysA Cj0314	DCDA_CAMJE	GO:0008836; GO:0009089; GO:0030170	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
Q9PN07	dcd Cj1292	DCD_CAMJE	GO:0008829; GO:0006226; GO:0006229; GO:0009220	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Deoxycytidine triphosphate deaminase (dCTP deaminase) (EC 3.5.4.13)
Q9PN54	hemE Cj1243	DCUP_CAMJE	GO:0005737; GO:0006782; GO:0004853	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
Q9PPC2	ddl ddlA Cj0798c	DDL_CAMJE	GO:0005524; GO:0008716; GO:0071555; GO:0005737; GO:0000287; GO:0030145; GO:0009252; GO:0008360	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)
Q9PIT8	def Cj0191c	DEF_CAMJE	GO:0005506; GO:0042586; GO:0006412	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)
Q9PIB6	der engA Cj0386	DER_CAMJE	GO:0005525; GO:0042254	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	GTPase Der (GTP-binding protein EngA)
Q59291	asd Cj1023c	DHAS_CAMJE	GO:0071266; GO:0003942; GO:0051287; GO:0050661; GO:0004073; GO:0005737; GO:0019877; GO:0009097; GO:0009089; GO:0009088	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)
Q9PJB0	dnaA Cj0001	DNAA_CAMJE	GO:0005524; GO:0006270; GO:0003688; GO:0005737; GO:0006275	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chromosomal replication initiator protein DnaA
Q9PM37	dnaG Cj1638	DNAG_CAMJE	GO:0003677; GO:0003896; GO:0000287; GO:1990077; GO:0008270	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA primase (EC 2.7.7.-)
O85213	dnaJ Cj1260c	DNAJ_CAMJE	GO:0005524; GO:0006260; GO:0005737; GO:0006457; GO:0009408; GO:0008270	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chaperone protein DnaJ
O69298	dnaK Cj0759	DNAK_CAMJE	GO:0005524; GO:0006457	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)
Q0PAT1	ligA Cj0586	DNLJ_CAMJE	GO:0003677; GO:0003911; GO:0006281; GO:0006260; GO:0046872	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])
Q9PPI9	dnaE Cj0718	DPO3A_CAMJE	GO:0008408; GO:0003677; GO:0006260; GO:0003887; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA polymerase III subunit alpha (EC 2.7.7.7)
Q0P891	dps Cj1534c	DPS_CAMJE	GO:0042262; GO:0006879; GO:0005737; GO:0008199; GO:0016491	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA protection during starvation protein (EC 1.16.-.-)
Q9PHR3	dsbD Cj0603c	DSBD_CAMJE	GO:0045454; GO:0017004; GO:0009055; GO:0016021; GO:0005886; GO:0047134	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)
Q0PA25	dsbI Cj0865	DSBI_CAMJE	GO:0016021; GO:0005886; GO:0015035	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Putative protein-disulfide oxidoreductase DsbI
Q9PMV3	dxr Cj1346c	DXR_CAMJE	GO:0030604; GO:0070402; GO:0019288; GO:0046872; GO:0016114	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)
Q9PIH8	dxs Cj0321	DXS_CAMJE	GO:0052865; GO:0008661; GO:0000287; GO:0016114; GO:0009228; GO:0030976	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)
Q9PI16	fusA Cj0493	EFG_CAMJE	GO:0005525; GO:0003924; GO:0005737; GO:0003746	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Elongation factor G (EF-G)
Q9PHW3	efp Cj0551	EFP_CAMJE	GO:0005737; GO:0003746	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Elongation factor P (EF-P)
Q9PNB4	tsf Cj1181c	EFTS_CAMJE	GO:0005737; GO:0003746	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Elongation factor Ts (EF-Ts)
O69303	tuf tufB Cj0470	EFTU_CAMJE	GO:0005525; GO:0003924; GO:0005737; GO:0003746	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Elongation factor Tu (EF-Tu)
Q9PHL7	engB Cj0650	ENGB_CAMJE	GO:0005525; GO:0003924; GO:0000917; GO:0000287	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Probable GTP-binding protein EngB
P42448	eno Cj1672c	ENO_CAMJE	GO:0009986; GO:0005576; GO:0006096; GO:0000287; GO:0004634; GO:0000015	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
Q9PHL1	era Cj0661c	ERA_CAMJE	GO:0005525; GO:0003924; GO:0005737; GO:0005886; GO:0042274; GO:0070181	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	GTPase Era
Q9PIH4	xseA Cj0325	EX7L_CAMJE	GO:0006308; GO:0005737; GO:0008855; GO:0009318; GO:0003676	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)
Q0PA50	fbp Cj0840c	F16PA_CAMJE	GO:0005737; GO:0042132; GO:0006094; GO:0000287	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)
Q9PMZ6	Cj1303	FABHL_CAMJE	GO:0004315; GO:0033818; GO:0005737; GO:0006633	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Putative 3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)
Q9PIH1	fabH Cj0328c	FABH_CAMJE	GO:0004315; GO:0033818; GO:0005737; GO:0006633	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)
Q9PIM2	fabZ Cj0273	FABZ_CAMJE	GO:0019171; GO:0047451; GO:0005737; GO:0006633; GO:0009245	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)
Q9PMQ9	feoB Cj1398	FEOB_CAMJE	GO:0005524; GO:0005525; GO:0015093; GO:0016021; GO:0005886	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Ferrous iron transport protein B homolog
P56963	flaA Cj1339c	FLA1_CAMJE	GO:0009420; GO:0044781; GO:0071973; GO:0005576; GO:0005198	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellin A
P96747	flaC Cj0720c	FLAC_CAMJE	GO:0009288; GO:0071973; GO:0005576; GO:0005198	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellin C
P56964	flaB Cj1338c	FLB1_CAMJE	GO:0009420; GO:0044781; GO:0071973; GO:0005576; GO:0005198	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellin B
Q9PPM0	flgH Cj0687c	FLGH_CAMJE	GO:0009427; GO:0071973; GO:0009279; GO:0003774	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar L-ring protein (Basal body L-ring protein)
Q9PMJ8	flgI Cj1462	FLGI_CAMJE	GO:0009428; GO:0071973; GO:0030288; GO:0005198	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar P-ring protein (Basal body P-ring protein)
O52908	flhF Cj0064c	FLHF_CAMJE	GO:0005525; GO:0006614; GO:0044781; GO:0005622; GO:0005886	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar biosynthesis protein FlhF (Flagella-associated GTP-binding protein)
Q9PHW6	fliD Cj0548	FLID_CAMJE	GO:0009424; GO:0044781; GO:0007155; GO:0005576	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)
Q9PHY8	fliE Cj0526c	FLIE_CAMJE	GO:0009425; GO:0071973; GO:0003774; GO:0005198	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar hook-basal body complex protein FliE
Q0P9H9	fliW Cj1075	FLIW_CAMJE	GO:0044780; GO:0005737	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Flagellar assembly factor FliW
Q9PJ28	fmt Cj0098	FMT_CAMJE	GO:0004479; GO:0008168	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Methionyl-tRNA formyltransferase (EC 2.1.2.9)
Q0PA35	folD Cj0855	FOLD_CAMJE	GO:0009396; GO:0000105; GO:0004477; GO:0009086; GO:0004488; GO:0006164; GO:0035999	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
Q46106	ftn cft Cj0612c	FTN_CAMJE	GO:0006879; GO:0005737; GO:0008199; GO:0006826; GO:0016491	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Bacterial non-heme ferritin (EC 1.16.3.2)
Q0PA12	ftsK ftsQ Cj0886c	FTSK_CAMJE	GO:0005524; GO:0003677; GO:0007049; GO:0051301; GO:0007059; GO:0016021; GO:0005886	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	DNA translocase FtsK
O69294	fumC Cj1364c	FUMC_CAMJE	GO:0004333; GO:0006106; GO:0006099; GO:0045239	Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2)
